user_id,badge_id,created_at,updated_at
21667900,270439-marathoner-10-within-48-bd,2018-10-08 08:31:30,2018-10-08 08:31:30
21667900,270439-marathoner-3-within-24-bd,2018-10-07 10:19:25,2018-10-07 10:19:25
21667900,270439-marathoner-5-within-24-bd,2018-10-07 12:48:34,2018-10-07 12:48:34
21667900,270633-marathoner-3-within-24-bd,2018-12-22 11:01:19,2018-12-22 11:01:19
21667900,270633-serial-actor-voter-3-bd,2018-12-22 11:01:24,2018-12-22 11:01:24
21667900,270633-serial-actor-voter-5-bd,2018-12-23 09:31:45,2018-12-23 09:31:45
21667900,270633-serial-emotioner-3-bd,2018-12-23 05:55:20,2018-12-23 05:55:20
21667900,270633-serial-emotioner-5-bd,2018-12-23 09:31:34,2018-12-23 09:31:34
21667900,270915-marathoner-3-within-24-bd,2018-10-26 07:41:29,2018-10-26 07:41:29
21667900,270915-marathoner-5-within-24-bd,2018-10-26 12:02:29,2018-10-26 12:02:29
21667900,273181-serial-actor-voter-3-bd,2019-09-07 11:51:48,2019-09-07 11:51:48
21667900,273181-serial-actor-voter-5-bd,2019-09-08 05:02:28,2019-09-08 05:02:28
21667900,276842-serial-actor-voter-3-bd,2019-06-14 08:42:09,2019-06-14 08:42:09
21667900,279977-marathoner-10-within-48-bd,2019-07-14 09:44:30,2019-07-14 09:44:30
21667900,279977-marathoner-3-within-24-bd,2019-07-12 16:09:23,2019-07-12 16:09:23
21667900,279977-marathoner-5-within-24-bd,2019-07-13 07:43:52,2019-07-13 07:43:52
21667900,279977-serial-actor-voter-10-bd,2019-07-13 08:41:08,2019-07-13 08:41:08
21667900,279977-serial-actor-voter-15-bd,2019-07-14 09:45:08,2019-07-14 09:45:08
21667900,279977-serial-actor-voter-3-bd,2019-07-12 10:35:54,2019-07-12 10:35:54
21667900,279977-serial-actor-voter-5-bd,2019-07-12 10:37:12,2019-07-12 10:37:12
21667900,280582-marathoner-10-within-48-bd,2018-12-25 06:14:32,2018-12-25 06:14:32
21667900,280582-marathoner-3-within-24-bd,2018-12-23 16:31:09,2018-12-23 16:31:09
21667900,280582-marathoner-5-within-24-bd,2018-12-24 09:09:20,2018-12-24 09:09:20
21667900,280582-serial-actor-voter-10-bd,2018-12-25 06:14:40,2018-12-25 06:14:40
21667900,280582-serial-actor-voter-15-bd,2018-12-26 09:15:53,2018-12-26 09:15:53
21667900,280582-serial-actor-voter-3-bd,2018-12-23 16:31:23,2018-12-23 16:31:23
21667900,280582-serial-actor-voter-5-bd,2018-12-24 09:09:54,2018-12-24 09:09:54
21667900,280582-serial-emotioner-10-bd,2018-12-25 06:14:38,2018-12-25 06:14:38
21667900,280582-serial-emotioner-15-bd,2018-12-26 09:16:04,2018-12-26 09:16:04
21667900,280582-serial-emotioner-3-bd,2018-12-23 16:31:17,2018-12-23 16:31:17
21667900,280582-serial-emotioner-5-bd,2018-12-24 09:09:52,2018-12-24 09:09:52
21667900,290508-serial-actor-voter-3-bd,2019-07-08 11:04:00,2019-07-08 11:04:00
21667900,290508-serial-actor-voter-5-bd,2019-07-09 12:06:13,2019-07-09 12:06:13
21667900,295685-marathoner-3-within-24-bd,2020-11-03 05:40:51,2020-11-03 05:40:51
21667900,295685-marathoner-5-within-24-bd,2020-11-07 05:24:31,2020-11-07 05:24:31
21667900,295685-quick-watcher-3-bd,2021-05-28 10:52:30,2021-05-28 10:52:30
21667900,295685-serial-actor-voter-3-bd,2020-11-05 04:25:18,2020-11-05 04:25:18
21667900,295829-marathoner-10-within-48-bd,2018-12-10 16:31:53,2018-12-10 16:31:53
21667900,295829-marathoner-3-within-24-bd,2018-12-09 13:28:01,2018-12-09 13:28:01
21667900,295829-marathoner-5-within-24-bd,2018-12-10 06:40:45,2018-12-10 06:40:45
21667900,295829-serial-actor-voter-10-bd,2018-12-14 10:35:00,2018-12-14 10:35:00
21667900,295829-serial-actor-voter-3-bd,2018-12-10 13:35:50,2018-12-10 13:35:50
21667900,295829-serial-actor-voter-5-bd,2018-12-11 08:24:36,2018-12-11 08:24:36
21667900,295829-serial-emotioner-10-bd,2018-12-15 05:40:38,2018-12-15 05:40:38
21667900,295829-serial-emotioner-3-bd,2018-12-11 07:57:15,2018-12-11 07:57:15
21667900,295829-serial-emotioner-5-bd,2018-12-11 16:38:34,2018-12-11 16:38:34
21667900,296762-quick-watcher-3-bd,2020-04-14 14:54:12,2020-04-14 14:54:12
21667900,296762-quick-watcher-5-bd,2020-04-27 09:14:55,2020-04-27 09:14:55
21667900,296762-serial-actor-voter-3-bd,2020-03-27 19:28:02,2020-03-27 19:28:02
21667900,296762-serial-actor-voter-5-bd,2020-04-06 06:07:14,2020-04-06 06:07:14
21667900,298566-marathoner-3-within-24-bd,2018-07-01 11:23:44,2018-07-01 11:23:44
21667900,298566-marathoner-5-within-24-bd,2018-07-04 16:31:38,2018-07-04 16:31:38
21667900,298566-quick-watcher-3-bd,2018-11-20 10:18:08,2018-11-20 10:18:08
21667900,298566-quick-watcher-5-bd,2018-11-20 16:28:20,2018-11-20 16:28:20
21667900,298566-serial-actor-voter-3-bd,2020-04-27 10:20:06,2020-04-27 10:20:06
21667900,298566-serial-commentator-3-bd,2018-11-20 10:25:38,2018-11-20 10:25:38
21667900,298566-serial-commentator-5-bd,2018-11-23 04:41:57,2018-11-23 04:41:57
21667900,302205-marathoner-10-within-48-bd,2018-11-25 12:15:00,2018-11-25 12:15:00
21667900,302205-marathoner-3-within-24-bd,2018-11-24 10:45:39,2018-11-24 10:45:39
21667900,302205-marathoner-5-within-24-bd,2018-11-24 16:19:02,2018-11-24 16:19:02
21667900,303071-marathoner-3-within-24-bd,2020-08-31 11:47:30,2020-08-31 11:47:30
21667900,305288-marathoner-3-within-24-bd,2019-07-06 07:46:10,2019-07-06 07:46:10
21667900,305288-marathoner-5-within-24-bd,2019-07-06 07:46:10,2019-07-06 07:46:10
21667900,305288-quick-watcher-3-bd,2019-07-06 07:46:10,2019-07-06 07:46:10
21667900,305288-quick-watcher-5-bd,2019-07-06 07:46:10,2019-07-06 07:46:10
21667900,305288-serial-actor-voter-3-bd,2019-07-06 07:46:07,2019-07-06 07:46:07
21667900,305288-serial-actor-voter-5-bd,2019-07-06 07:46:07,2019-07-06 07:46:07
21667900,305574-marathoner-3-within-24-bd,2019-11-23 05:58:29,2019-11-23 05:58:29
21667900,305574-quick-watcher-10-bd,2022-11-11 00:33:17,2022-11-11 00:33:17
21667900,305574-quick-watcher-3-bd,2020-11-15 11:37:50,2020-11-15 11:37:50
21667900,305574-quick-watcher-5-bd,2020-11-17 04:22:18,2020-11-17 04:22:18
21667900,305574-serial-actor-voter-10-bd,2019-11-25 13:00:25,2019-11-25 13:00:25
21667900,305574-serial-actor-voter-3-bd,2019-11-23 05:58:48,2019-11-23 05:58:48
21667900,305574-serial-actor-voter-5-bd,2019-11-23 08:29:00,2019-11-23 08:29:00
21667900,305719-quick-watcher-3-bd,2019-06-24 03:59:55,2019-06-24 03:59:55
21667900,305719-quick-watcher-5-bd,2019-07-08 15:53:45,2019-07-08 15:53:45
21667900,305719-serial-actor-voter-3-bd,2019-06-24 04:00:13,2019-06-24 04:00:13
21667900,305719-serial-actor-voter-5-bd,2019-07-08 15:54:10,2019-07-08 15:54:10
21667900,310516-marathoner-3-within-24-bd,2019-08-03 10:39:53,2019-08-03 10:39:53
21667900,310516-marathoner-5-within-24-bd,2019-08-03 13:19:12,2019-08-03 13:19:12
