user_id,comment,created_at,highlight_level,extended_comment,tv_show_name,id,posted_on_fb,posted_on_twitter,nb_likes,parent_comment_id,source,featured,updated_at,unappropriate_count,only_to_fans,tv_show_id,lang,depth,comment_type,valid,same_ip_likes,spoiler_count
21667900,"April 2019.
Are you ready guys?
#ForTheThrone
#WinterIsHere",2018-11-15 05:43:12,5,null,Game of Thrones,1137028,0,0,5,,mobile,0,2018-11-16 12:05:42,0,1,121361,en,0,comment,0,1,0
21667900,Review: GO WATCH IT ASAP. IT'S SO SO AMAZING. it was set in 1950 period. Based on same name of the book.,2018-11-19 14:13:11,5,null,My Brilliant Friend,1141019,0,0,103,,mobile,0,2025-10-28 11:51:51,0,1,344626,en,0,comment,0,4,0
