view_count,last_view_time,created_at,updated_at,user_id,campaign_id
9,2018-11-29 07:29:05 +0000 UTC,2018-08-01 10:59:06,2018-11-29 07:29:05,21667900,page_like
54,2018-09-18 10:41:39 +0000 UTC,2018-07-11 11:25:16,2018-09-18 10:41:39,21667900,premium
