user_id,tv_show_id,episode_id,created_at,updated_at,tv_show_name
21667900,303210,5434009,2019-03-29 05:28:58,2019-03-29 05:28:58,Making a Murderer
21667900,305177,5493513,2020-07-29 08:38:21,2020-07-29 08:38:21,Crashing
21667900,305288,10788054,2022-06-05 17:08:36,2026-01-04 05:01:22,Stranger Things
21667900,305574,9365223,2022-11-10 23:56:03,2022-11-10 23:56:03,The Crown
21667900,305719,7290837,2019-07-22 10:30:41,2019-07-22 10:30:41,Big Little Lies
21667900,308585,5563916,2019-04-12 16:25:20,2019-04-12 16:25:20,The Story of God with Morgan Freeman
21667900,310516,5657625,2019-08-04 06:03:55,2019-08-04 06:03:55,The Night Of
21667900,311711,6704751,2019-06-14 05:44:21,2019-06-14 05:44:21,The Good Place
21667900,311714,8986055,2022-05-25 20:09:07,2022-05-25 20:09:07,This Is Us
21667900,313024,5645282,2018-10-25 11:43:16,2018-10-25 11:43:16,Medici
21667900,313270,5672837,2019-11-28 11:03:22,2019-11-28 11:03:22,Better Things
21667900,315908,5720067,2022-05-19 21:41:05,2022-05-19 21:41:05,Kim's Convenience
21667900,318106,5782731,2019-06-17 06:17:05,2019-06-17 06:17:05,Beyond
21667900,318895,5907166,2020-08-21 07:09:50,2020-08-21 07:09:50,Scum's Wish
21667900,319861,7271099,2019-08-02 09:03:31,2019-08-02 09:03:31,Harlots
21667900,319895,5842762,2020-04-27 11:08:43,2020-04-27 11:08:43,Little Things
21667900,321239,7223225,2019-06-26 13:22:01,2019-06-26 13:22:01,The Handmaid's Tale
21667900,322971,6751914,2018-08-06 09:19:34,2018-08-06 09:19:34,Anne with an E
21667900,323168,7328174,2019-08-27 16:26:33,2019-08-27 16:26:33,13 Reasons Why
21667900,323945,6352962,2019-06-15 09:41:19,2019-06-15 09:41:19,Babylon Berlin
21667900,326791,7453308,2019-12-25 10:14:16,2019-12-25 10:14:16,The Marvelous Mrs. Maisel
21667900,326866,6757799,2018-09-30 12:58:46,2018-09-30 12:58:46,The Sinner
21667900,327325,7008355,2021-03-03 16:16:48,2021-03-03 16:16:48,Better Than Us
21667900,327417,8447795,2021-09-03 16:41:16,2021-09-03 16:41:16,Money Heist
21667900,328292,6157888,2018-09-21 05:02:16,2018-09-21 05:02:16,Gypsy
21667900,328708,7323041,2019-08-19 10:54:01,2019-08-19 10:54:01,MINDHUNTER
21667900,328719,6094695,2020-08-04 06:51:32,2020-08-04 06:51:32,A Silent Voice
21667900,328756,6508124,2018-07-29 04:30:17,2018-07-29 04:30:17,Life Sentence
21667900,329089,9138256,2022-05-06 01:57:34,2022-05-06 01:57:34,Ozark
21667900,329353,6112961,2018-08-15 08:49:09,2018-08-15 08:49:09,Fearless (2017)
21667900,329586,6333034,2018-07-08 11:39:35,2018-07-08 11:39:35,Alias Grace
21667900,330139,6495151,2020-09-23 13:08:25,2020-09-23 13:08:25,Violet Evergarden
21667900,330374,8513240,2021-07-29 04:28:51,2021-07-29 04:28:51,Atypical
21667900,330500,6166152,2018-11-30 04:18:52,2018-11-30 04:18:52,Absentia
21667900,334451,6297943,2019-01-07 10:57:30,2019-01-07 10:57:30,Howards End
21667900,334824,6347559,2019-06-02 08:43:58,2019-06-02 08:43:58,Dark
21667900,335825,6412094,2022-08-17 17:26:36,2022-08-17 17:26:36,Just Between Lovers
