tv_show_name,user_id,tv_show_id,last_action_timestamp,daily_score,weekly_score,monthly_score
Succession,21667900,338186,1687047775,100,100,100
Patrick Melrose,21667900,338946,1532946266,100,100,100
Chilling Adventures of Sabrina,21667900,338947,1542533150,100,100,100
Killing Eve,21667900,340959,1588164238,100,100,100
My Mister,21667900,341871,1657078733,100,100,100
Something in the Rain,21667900,342849,1656259081,100,100,100
Sacred Games,21667900,343435,1537515031,35,35,35
The Little Drummer Girl,21667900,344141,1546858533,100,100,100
My Brilliant Friend,21667900,344626,1587576315,100,100,100
The Haunting,21667900,345246,1767680157,100,100,100
Rascal Does Not Dream of Bunny Girl Senpai,21667900,345596,1598202301,100,100,100
Sharp Objects,21667900,346602,1538983920,100,100,100
Hymn of Death,21667900,347246,1657825238,100,100,100
Nightflyers,21667900,347648,1543820796,100,100,100
Gentleman Jack,21667900,348443,1574747554,35,35,35
Demon Slayer: Kimetsu no Yaiba,21667900,348545,1635752194,100,100,100
,21667900,349078,1561121735,35,35,35
Legacies,21667900,349309,1541237258,100,100,100
Bodyguard (2018),21667900,349310,1544286522,100,100,100
Familiar Wife,21667900,349512,1658885466,100,100,100
Escape at Dannemora,21667900,349738,1546339275,35,35,35
The Dragon Prince,21667900,350123,1537958647,100,100,100
Homecoming (2018),21667900,350553,1542457556,70,70,70
Maniac (2018),21667900,350864,1537797037,100,100,100
A Discovery of Witches,21667900,351291,1543037677,100,100,100
The Guernsey - Literary and Potato Peel Pie Society,21667900,351721,1598342427,35,35,35
Baby,21667900,351911,1601643737,100,100,100
A Teacher,21667900,352440,1614421760,35,35,35
Les Misérables (2018),21667900,354256,1560185840,100,100,100
Our Planet (2019),21667900,355229,1606195046,100,100,100
The Boys,21667900,355567,1657726691,100,100,100
The Wheel of Time,21667900,355730,1639699489,100,100,100
Dr. STONE,21667900,355774,1612689648,100,100,100
Sex Education,21667900,356317,1695515779,100,100,100
The Light in Your Eyes,21667900,356591,1710622950,100,100,100
Conversations with a Killer: The Ted Bundy Tapes,21667900,356609,1601228149,35,35,35
Russian Doll,21667900,356640,1559982949,35,35,35
Modern Love,21667900,357222,1631022584,100,100,100
Undone,21667900,357756,1572417861,35,35,35
"Love, Death & Robots",21667900,357888,1621061457,100,100,100
The Loudest Voice,21667900,358970,1576752976,100,100,100
Vinland Saga,21667900,359274,1606210794,100,100,100
Her Private Life,21667900,359600,1708687161,100,100,100
Looking for Alaska,21667900,359638,1572330717,100,100,100
Prison Break,21667900,360115,1651285551,100,100,100
Euphoria (US),21667900,360261,1780693065,100,100,100
His Dark Materials,21667900,360295,1604984242,100,100,100
When They See Us,21667900,360388,1625505400,100,100,100
Watchmen,21667900,360733,1576507431,100,100,100
Spinning Out,21667900,360858,1578372219,100,100,100
Chernobyl,21667900,360893,1560081407,100,100,100
The Mandalorian,21667900,361753,1612615982,100,100,100
One Spring Night,21667900,362115,1662427259,100,100,100
WandaVision,21667900,362392,1614949307,100,100,100
Loki,21667900,362472,1626361085,100,100,100
The Falcon and The Winter Soldier,21667900,362496,1619174941,100,100,100
The Witcher,21667900,362696,1642675136,100,100,100
Little Fires Everywhere,21667900,363194,1587574613,100,100,100
Snowpiercer,21667900,364928,1617677754,100,100,100
The Outsider (2020),21667900,365480,1579306872,100,100,100
Mrs. Fletcher,21667900,366195,1575959965,100,100,100
The Sandman,21667900,366211,1660094907,100,100,100
Bridgerton,21667900,366668,1611124569,70,70,70
Vagabond,21667900,366777,1661909978,35,35,35
Unbelievable,21667900,367030,1569582568,100,100,100
Mrs. America,21667900,367230,1587248988,70,70,70
Tales from the Loop,21667900,368210,1586162417,100,100,100
Crash Landing on You,21667900,368385,1656618239,100,100,100
Inside Bill's Brain: Decoding Bill Gates,21667900,368452,1603104470,35,35,35
Moon Knight,21667900,368611,1649983477,100,100,100
The Great,21667900,369301,1695750055,100,100,100
The Undoing,21667900,369307,1614165823,100,100,100
Shadow and Bone,21667900,369844,1622653889,70,70,70
Mare of Easttown,21667900,370112,1622628251,100,100,100
House of the Dragon,21667900,371572,1782930821,100,100,100
Normal People,21667900,371806,1597230954,100,100,100
Virgin River,21667900,371972,1645374892,100,100,100
Severance,21667900,371980,1742811565,100,100,100
Messiah (2020),21667900,373186,1616130040,70,70,70
"Hi Bye, Mama!",21667900,373415,1677699141,100,100,100
I Am Not Okay With This,21667900,375998,1597828496,70,70,70
Unorthodox,21667900,376122,1596696681,100,100,100
It's Okay to Not Be Okay,21667900,377955,1658153067,100,100,100
Flower of Evil,21667900,377960,1710164343,100,100,100
Behind Her Eyes,21667900,380991,1772116060,70,70,70
Ted Lasso,21667900,383203,1744143267,100,100,100
The Queen's Gambit,21667900,387115,1622736253,70,70,70
Bad Boy Billionaires: India,21667900,387191,1602262437,100,100,100
The White Lotus,21667900,390430,1683332514,100,100,100
Vincenzo,21667900,391784,1711826957,100,100,100
Shōgun,21667900,392573,1714260382,35,35,35
Scenes From A Marriage (US),21667900,394109,1635915739,100,100,100
My Name,21667900,397441,1658696493,100,100,100
Our Beloved Summer,21667900,398815,1709029104,100,100,100
Only Murders in the Building,21667900,399959,1634966044,100,100,100
Alchemy of Souls,21667900,401475,1673841258,100,100,100
My Liberation Notes,21667900,401548,1708232011,100,100,100
Komi Can't Communicate,21667900,402412,1636196253,100,100,100
Silo,21667900,403245,1743461804,35,35,35
"Twenty Five, Twenty One",21667900,403656,1711235989,100,100,100
House of Secrets: The Burari Deaths,21667900,410156,1633881097,100,100,100
The Glory,21667900,411469,1679114559,100,100,100
3 Body Problem,21667900,411959,1715329351,100,100,100
Presumed Innocent,21667900,415738,1743030652,100,100,100
Baby Reindeer,21667900,417223,1715348666,100,100,100
Extraordinary Attorney Woo,21667900,419950,1658538325,35,35,35
Summer Strike,21667900,424418,1708624741,100,100,100
One Hundred Years of Solitude,21667900,426288,1747986541,100,100,100
My Demon,21667900,429870,1709817628,100,100,100
A Knight of the Seven Kingdoms,21667900,433631,1772116067,35,35,35
PLUR1BUS,21667900,436457,1766877337,100,100,100
