action,last_action_date,created_at,updated_at,user_id,object_type,object_id
seen_leaderboard,2018-11-13 06:43:26 +0000 UTC,2018-06-29 04:55:11,2018-11-13 06:43:26,21667900,quiz,194
seen_leaderboard,2018-06-29 04:49:00 +0000 UTC,2018-06-29 04:49:00,2018-06-29 04:49:00,21667900,quiz,271
seen_leaderboard,2018-11-15 05:46:38 +0000 UTC,2018-06-29 02:59:45,2018-11-15 05:46:38,21667900,quiz,289
seen_leaderboard,2019-01-10 16:20:05 +0000 UTC,2019-01-10 16:20:05,2019-01-10 16:20:05,21667900,quiz,356
seen_leaderboard,2019-01-10 16:20:31 +0000 UTC,2019-01-10 16:20:31,2019-01-10 16:20:31,21667900,quiz,37
seen_leaderboard,2018-11-08 11:18:58 +0000 UTC,2018-06-29 02:57:53,2018-11-08 11:18:58,21667900,quiz,448
seen_leaderboard,2018-11-15 05:46:50 +0000 UTC,2018-06-29 02:55:53,2018-11-15 05:46:50,21667900,quiz,449
seen_leaderboard,2018-12-11 05:17:12 +0000 UTC,2018-08-22 04:14:40,2018-12-11 05:17:12,21667900,quiz,470
seen_leaderboard,2019-04-28 13:29:39 +0000 UTC,2019-04-28 13:29:39,2019-04-28 13:29:39,21667900,quiz,526
