source,user_id,episode_comment_id,created_at,updated_at
mobile,21667900,37575,2020-05-03 13:36:49,2020-05-03 13:36:49
mobile,21667900,122544,2018-11-04 09:48:50,2018-11-04 09:48:50
mobile,21667900,149740,2019-04-15 10:35:53,2019-04-15 10:35:53
mobile,21667900,171748,2019-07-13 08:42:18,2019-07-13 08:42:18
mobile,21667900,174915,2018-10-07 05:45:53,2018-10-07 05:45:53
mobile,21667900,177497,2019-07-13 08:41:23,2019-07-13 08:41:23
mobile,21667900,184475,2018-10-07 10:20:58,2018-10-07 10:20:58
mobile,21667900,185528,2018-10-07 10:20:27,2018-10-07 10:20:27
mobile,21667900,355450,2019-09-07 09:08:52,2019-09-07 09:08:52
mobile,21667900,376013,2018-11-05 04:52:41,2018-11-05 04:52:41
mobile,21667900,376488,2018-11-05 04:52:52,2018-11-05 04:52:52
mobile,21667900,396535,2019-09-07 11:46:40,2019-09-07 11:46:40
mobile,21667900,397785,2019-09-07 11:46:01,2019-09-07 11:46:01
mobile,21667900,399322,2019-09-07 11:46:52,2019-09-07 11:46:52
mobile,21667900,408086,2019-05-26 16:39:50,2019-05-26 16:39:50
mobile,21667900,408268,2019-05-27 16:14:40,2019-05-27 16:14:40
mobile,21667900,408511,2019-05-27 04:40:13,2019-05-27 04:40:13
mobile,21667900,409217,2019-05-26 11:55:01,2019-05-26 11:55:01
mobile,21667900,409525,2019-05-27 04:40:23,2019-05-27 04:40:23
mobile,21667900,411817,2019-05-26 11:54:34,2019-05-26 11:54:34
mobile,21667900,417671,2019-05-29 09:52:21,2019-05-29 09:52:21
mobile,21667900,417754,2019-05-29 10:55:15,2019-05-29 10:55:15
mobile,21667900,420219,2019-05-29 10:56:37,2019-05-29 10:56:37
mobile,21667900,426161,2019-05-29 09:04:01,2019-05-29 09:04:01
mobile,21667900,433270,2019-05-29 10:55:38,2019-05-29 10:55:38
mobile,21667900,453658,2019-05-22 16:25:37,2019-05-22 16:25:37
mobile,21667900,456087,2019-05-26 16:40:01,2019-05-26 16:40:01
mobile,21667900,456252,2019-05-29 10:55:58,2019-05-29 10:55:58
mobile,21667900,501374,2019-08-06 16:18:20,2019-08-06 16:18:20
mobile,21667900,503362,2018-12-24 05:57:55,2018-12-24 05:57:55
mobile,21667900,503421,2018-12-24 05:57:40,2018-12-24 05:57:40
mobile,21667900,504389,2019-05-25 16:22:29,2019-05-25 16:22:29
mobile,21667900,515349,2018-10-16 13:50:53,2018-10-16 13:50:53
