uuid,user_id,vote_key,movie_name,episode_id
29713e1d-9313-49f1-abd8-6ba4443bc3f4,21667900,29713e1d-9313-49f1-abd8-6ba4443bc3f4-21667900-30,A Ghost Story,0
1205b09a-ce59-488f-9302-bfcf9dcf7521,21667900,1205b09a-ce59-488f-9302-bfcf9dcf7521-21667900-39,The Last Duel,0
73e49a28-9aab-4cbe-ab04-3d9cbb778fee,21667900,73e49a28-9aab-4cbe-ab04-3d9cbb778fee-21667900-30,Casino Royale,0
7e645c16-f873-4365-a602-8f54235094b8,21667900,7e645c16-f873-4365-a602-8f54235094b8-21667900-37,Weapons,0
ae3b67a9-2b64-46cb-8bf7-0d59b81574ce,21667900,ae3b67a9-2b64-46cb-8bf7-0d59b81574ce-21667900-30,Train Dreams,0
21bfc048-c69c-492d-a04a-28cefd080416,21667900,21bfc048-c69c-492d-a04a-28cefd080416-21667900-32,The Iron Claw,0
e5c578d0-d2c5-4f69-b45a-65198841c8ab,21667900,e5c578d0-d2c5-4f69-b45a-65198841c8ab-21667900-28,No Time to Die,0
74c850ec-0aa3-442d-8b40-f2c185052e47,21667900,74c850ec-0aa3-442d-8b40-f2c185052e47-21667900-28,Source Code,0
5e14cbcf-c9b3-4f82-b6df-9f68cdc0beb6,21667900,5e14cbcf-c9b3-4f82-b6df-9f68cdc0beb6-21667900-30,Black Widow,0
44f6dc76-5643-4d94-83ae-5368d8f64c32,21667900,44f6dc76-5643-4d94-83ae-5368d8f64c32-21667900-34,World War Z,0
1205b09a-ce59-488f-9302-bfcf9dcf7521,21667900,1205b09a-ce59-488f-9302-bfcf9dcf7521-21667900-30,The Last Duel,0
aa42c35c-9297-4434-b875-de0d371a224d,21667900,aa42c35c-9297-4434-b875-de0d371a224d-21667900-35,The Sun is Also a Star,0
ca0ee7a8-152c-4947-b5f2-31ac7104a393,21667900,ca0ee7a8-152c-4947-b5f2-31ac7104a393-21667900-32,Army of the Dead,0
4144a76e-38a3-4554-8249-46178d60713a,21667900,4144a76e-38a3-4554-8249-46178d60713a-21667900-37,Nobody,0
bf18388a-73e7-4579-8568-a47cc1f3266e,21667900,bf18388a-73e7-4579-8568-a47cc1f3266e-21667900-32,The Father,0
892f9939-71ab-427a-a0bb-21ba7697a6be,21667900,892f9939-71ab-427a-a0bb-21ba7697a6be-21667900-30,Wildlife,0
6c208f71-4072-4aa1-a444-6d59ba2a4697,21667900,6c208f71-4072-4aa1-a444-6d59ba2a4697-21667900-30,ドライブ・マイ・カー,0
3bbb19a8-f5a7-4b27-bce3-6d762ff6c692,21667900,3bbb19a8-f5a7-4b27-bce3-6d762ff6c692-21667900-30,The Elephant Whisperers,0
73e49a28-9aab-4cbe-ab04-3d9cbb778fee,21667900,73e49a28-9aab-4cbe-ab04-3d9cbb778fee-21667900-37,Casino Royale,0
87a5124e-3eca-43fe-8667-7bcab6ada01e,21667900,87a5124e-3eca-43fe-8667-7bcab6ada01e-21667900-19,Wonder Woman 1984,0
724d75e3-5d7c-4af6-a6b4-5f331cd4d0af,21667900,724d75e3-5d7c-4af6-a6b4-5f331cd4d0af-21667900-28,Dune: Part Two,0
296188ad-0e0f-439b-976c-6c003001fc3e,21667900,296188ad-0e0f-439b-976c-6c003001fc3e-21667900-15,青春ブタ野郎はゆめみる少女の夢を見ない,0
d669ed28-7f06-4bae-afc1-b35c68bf59a2,21667900,d669ed28-7f06-4bae-afc1-b35c68bf59a2-21667900-30,Stand by Me,0
a9b902e6-73de-41a4-a681-e71ad4ee360d,21667900,a9b902e6-73de-41a4-a681-e71ad4ee360d-21667900-28,The Suicide Squad,0
c9881b74-3725-404c-9c4d-244c732223a4,21667900,c9881b74-3725-404c-9c4d-244c732223a4-21667900-30,Aftersun,0
bf18388a-73e7-4579-8568-a47cc1f3266e,21667900,bf18388a-73e7-4579-8568-a47cc1f3266e-21667900-30,The Father,0
bb153669-9583-4356-96b0-6e305e38879b,21667900,bb153669-9583-4356-96b0-6e305e38879b-21667900-32,Sleepless in Seattle,0
0247115f-7654-4e6d-a108-23fd55bf6232,21667900,0247115f-7654-4e6d-a108-23fd55bf6232-21667900-32,Barbie,0
bfb89cc5-b066-4f24-8fc8-119028331d87,21667900,bfb89cc5-b066-4f24-8fc8-119028331d87-21667900-30,Cha Cha Real Smooth,0
5e14cbcf-c9b3-4f82-b6df-9f68cdc0beb6,21667900,5e14cbcf-c9b3-4f82-b6df-9f68cdc0beb6-21667900-32,Black Widow,0
a51f2623-1ecb-4ce6-bb46-494e0a8a59d8,21667900,a51f2623-1ecb-4ce6-bb46-494e0a8a59d8-21667900-18,Arrival,0
e602ecbf-bd13-48f7-9759-712bfb7eef71,21667900,e602ecbf-bd13-48f7-9759-712bfb7eef71-21667900-33,The Dictator,0
4144a76e-38a3-4554-8249-46178d60713a,21667900,4144a76e-38a3-4554-8249-46178d60713a-21667900-33,Nobody,0
