episode_number,user_id,episode_id,watched_on_source_id,created_at,updated_at,tv_show_name,episode_season_number
12,21667900,4675716,1,2020-05-06 08:10:21,2020-05-06 08:10:21,Homeland,3
16,21667900,4676429,1,2022-03-18 01:34:22,2022-03-18 01:34:22,Suits,3
2,21667900,4741188,1,2019-05-21 08:47:00,2019-05-21 08:47:00,House of Cards (US),2
3,21667900,4741189,1,2019-05-22 04:11:36,2019-05-22 04:11:36,House of Cards (US),2
4,21667900,4741190,1,2019-05-22 09:23:11,2019-05-22 09:23:11,House of Cards (US),2
5,21667900,4741191,1,2019-05-22 10:16:45,2019-05-22 10:16:45,House of Cards (US),2
6,21667900,4741192,1,2019-05-22 16:24:56,2019-05-22 16:24:56,House of Cards (US),2
7,21667900,4741193,1,2019-05-23 09:13:01,2019-05-23 09:13:01,House of Cards (US),2
8,21667900,4741194,1,2019-05-23 10:46:41,2019-05-23 10:46:41,House of Cards (US),2
9,21667900,4741195,1,2019-05-23 16:24:59,2019-05-23 16:24:59,House of Cards (US),2
10,21667900,4741196,1,2019-05-25 16:21:05,2019-05-25 16:21:05,House of Cards (US),2
11,21667900,4741197,1,2019-05-26 04:54:02,2019-05-26 04:54:02,House of Cards (US),2
12,21667900,4741198,1,2019-05-26 08:49:08,2019-05-26 08:49:08,House of Cards (US),2
13,21667900,4741199,1,2019-05-26 09:46:28,2019-05-26 09:46:28,House of Cards (US),2
1,21667900,4823565,1,2019-06-12 12:11:44,2019-06-12 12:11:44,Olive Kitteridge,1
2,21667900,4823566,1,2019-06-12 13:28:56,2019-06-12 13:28:56,Olive Kitteridge,1
3,21667900,4823567,1,2019-06-13 13:56:54,2019-06-13 13:56:54,Olive Kitteridge,1
4,21667900,4823568,1,2019-06-14 02:17:01,2019-06-14 02:17:01,Olive Kitteridge,1
1,21667900,4853144,1,2018-12-23 11:37:20,2018-12-23 11:37:20,Poldark (2015),1
2,21667900,4853145,1,2018-12-23 13:06:01,2018-12-23 13:06:01,Poldark (2015),1
3,21667900,4853146,1,2018-12-23 16:31:26,2018-12-23 16:31:26,Poldark (2015),1
4,21667900,4853147,1,2018-12-24 05:57:28,2018-12-24 05:57:28,Poldark (2015),1
5,21667900,4853148,1,2018-12-24 09:09:58,2018-12-24 09:09:58,Poldark (2015),1
6,21667900,4853149,1,2018-12-24 10:34:44,2018-12-24 10:34:44,Poldark (2015),1
7,21667900,4853150,1,2018-12-24 13:34:02,2018-12-24 13:34:02,Poldark (2015),1
8,21667900,4853151,1,2018-12-24 16:21:40,2018-12-24 16:21:40,Poldark (2015),1
2,21667900,4854796,1,2019-01-08 16:33:03,2019-01-08 16:33:03,The Leftovers,1
3,21667900,4854797,1,2019-01-09 16:23:42,2019-01-09 16:23:42,The Leftovers,1
10,21667900,4929224,4,2021-11-09 12:57:14,2021-11-09 12:57:14,The Leftovers,1
2,21667900,5013326,3,2020-08-24 06:32:18,2020-08-24 06:32:18,Your Lie in April,1
1,21667900,5043395,1,2019-05-26 11:53:45,2019-05-26 11:53:45,House of Cards (US),3
2,21667900,5043396,1,2019-05-26 16:39:27,2019-05-26 16:39:27,House of Cards (US),3
3,21667900,5043397,1,2019-05-27 04:39:10,2019-05-27 04:39:10,House of Cards (US),3
4,21667900,5043398,1,2019-05-27 16:14:20,2019-05-27 16:14:20,House of Cards (US),3
6,21667900,5043400,1,2019-05-29 06:50:13,2019-05-29 06:50:13,House of Cards (US),3
7,21667900,5043401,1,2019-05-29 06:50:28,2019-05-29 06:50:28,House of Cards (US),3
8,21667900,5043402,1,2019-05-29 09:03:27,2019-05-29 09:03:27,House of Cards (US),3
9,21667900,5043403,1,2019-05-29 09:51:55,2019-05-29 09:51:55,House of Cards (US),3
10,21667900,5043404,1,2019-05-29 10:54:41,2019-05-29 10:54:41,House of Cards (US),3
11,21667900,5043406,1,2019-05-29 12:10:24,2019-05-29 12:10:24,House of Cards (US),3
13,21667900,5043417,1,2019-05-30 03:47:28,2019-05-30 03:47:28,House of Cards (US),3
2,21667900,5054192,1,2019-09-07 09:53:52,2019-09-07 09:53:52,Better Call Saul,1
3,21667900,5054193,1,2019-09-07 11:44:52,2019-09-07 11:44:52,Better Call Saul,1
3,21667900,5097575,4,2021-02-20 06:41:55,2021-02-20 06:41:55,Assassination Classroom,1
4,21667900,5114293,1,2019-09-07 11:45:22,2019-09-07 11:45:22,Better Call Saul,1
5,21667900,5114294,1,2019-09-08 05:02:14,2019-09-08 05:02:14,Better Call Saul,1
6,21667900,5126774,1,2019-09-08 10:08:27,2019-09-08 10:08:27,Better Call Saul,1
7,21667900,5126775,1,2019-09-08 10:08:47,2019-09-08 10:08:47,Better Call Saul,1
9,21667900,5126777,1,2019-09-09 16:19:43,2019-09-09 16:19:43,Better Call Saul,1
1,21667900,5245898,1,2018-12-09 10:04:26,2018-12-09 10:04:26,The Man in the High Castle,1
10,21667900,5324526,1,2018-10-10 05:53:20,2018-10-10 05:53:20,The Affair,2
