created_at,updated_at,data_processed,user_id,id,source,external_id,data_received
2018-06-26 14:35:35,2018-06-27 00:42:33,1,21667900,5977108,AppsFlyer,1530023697759-7708480434273780912,"{""mac"":null,""af_sub1"":null,""customer_user_id"":null,""bundle_id"":""com.tozelabs.tvshowtime"",""app_version"":""4.15.6.1-18061502"",""city"":""Bhavnagar"",""fb_campaign_id"":null,""device_model"":""GIONEE P7"",""selected_currency"":""USD"",""app_name"":""TV Time: TV Show Tracker"",""install_time_selected_timezone"":""2018-06-26 14:35:04.309+0000"",""wifi"":false,""install_time"":""2018-06-26 14:35:04"",""operator"":""Jio 4G"",""fb_adgroup_id"":null,""currency"":null,""attributed_touch_type"":null,""re_targeting_conversion_type"":null,""attributed_touch_time"":null,""click_time_selected_timezone"":null,""is_retargeting"":false,""country_code"":""IN"",""event_type"":""install"",""appsflyer_device_id"":""1530023697759-7708480434273780912"",""http_referrer"":null,""af_sub5"":null,""fb_campaign_name"":null,""click_url"":null,""media_source"":""Organic"",""campaign"":null,""af_keywords"":null,""cost_in_selected_currency"":null,""event_value"":null,""ip"":""157.32.87.189"",""event_time"":""2018-06-26 14:35:04"",""click_time"":null,""af_sub4"":null,""imei"":null,""fb_adgroup_name"":null,""af_sub2"":null,""attribution_type"":""organic"",""android_id"":null,""fb_adset_id"":null,""agency"":null,""fb_adset_name"":null,""cost_per_install"":null,""device_brand"":""GIONEE"",""download_time"":""2018-06-26 14:34:13"",""af_siteid"":null,""language"":""English"",""app_id"":""com.tozelabs.tvshowtime"",""carrier"":""Jio 4G"",""event_name"":null,""advertising_id"":""3cee5f61-6b4f-413f-b3c6-851baa77c762"",""os_version"":""6.0"",""platform"":""android"",""af_sub3"":null,""download_time_selected_timezone"":""2018-06-26 14:34:13.000+0000"",""sdk_version"":""v4.8.11"",""event_time_selected_timezone"":""2018-06-26 14:35:04.309+0000""}"
2019-03-21 11:54:30,2019-03-22 00:08:15,1,21667900,9761370,AppsFlyer,1553169237070-9027634343123968991,"{""mac"":null,""af_sub1"":null,""customer_user_id"":null,""bundle_id"":""com.tozelabs.tvshowtime"",""app_version"":""7.5.0-19021901"",""city"":""Ahmedabad"",""fb_campaign_id"":null,""device_model"":""COR-AL00"",""selected_currency"":""USD"",""app_name"":""TV Time: Track and Discover Shows"",""install_time_selected_timezone"":""2019-03-21 11:54:00.035+0000"",""wifi"":false,""install_time"":""2019-03-21 11:54:00"",""operator"":""Jio 4G"",""fb_adgroup_id"":null,""currency"":null,""attributed_touch_type"":null,""re_targeting_conversion_type"":null,""attributed_touch_time"":null,""click_time_selected_timezone"":null,""is_retargeting"":false,""country_code"":""IN"",""event_type"":""install"",""appsflyer_device_id"":""1553169237070-9027634343123968991"",""http_referrer"":null,""af_sub5"":null,""fb_campaign_name"":null,""click_url"":null,""media_source"":""Organic"",""campaign"":null,""af_keywords"":null,""cost_in_selected_currency"":null,""event_value"":null,""ip"":""157.32.94.46"",""event_time"":""2019-03-21 11:54:00"",""click_time"":null,""af_sub4"":null,""imei"":null,""fb_adgroup_name"":null,""af_sub2"":null,""attribution_type"":""organic"",""android_id"":null,""fb_adset_id"":null,""agency"":null,""fb_adset_name"":null,""cost_per_install"":null,""device_brand"":""HONOR"",""download_time"":""2019-03-21 11:25:27"",""af_siteid"":null,""language"":""English"",""app_id"":""com.tozelabs.tvshowtime"",""carrier"":""Jio 4G"",""event_name"":null,""advertising_id"":""fc335911-44b5-4c11-b910-e7467fea67e9"",""os_version"":""8.1.0"",""platform"":""android"",""af_sub3"":null,""download_time_selected_timezone"":""2019-03-21 11:25:27.000+0000"",""sdk_version"":""v4.8.12"",""event_time_selected_timezone"":""2019-03-21 11:54:00.035+0000""}"
2025-02-03 18:09:03,2025-02-04 00:19:33,1,21667900,41880942,AppsFlyerV2,1738606109724-9210836189469420512,"{""af_sub1"":null,""customer_user_id"":""21667900"",""bundle_id"":""com.tozelabs.tvshowtime"",""event_source"":""SDK"",""app_version"":""10.6.1+2025012801"",""custom_data"":null,""af_c_id"":null,""install_time"":""2025-02-03 18:08:30.854"",""attributed_touch_type"":null,""af_adset_id"":null,""api_version"":""2.0"",""attributed_touch_time"":null,""appsflyer_id"":""1738606109724-9210836189469420512"",""af_sub5"":null,""af_prt"":null,""media_source"":""organic"",""campaign"":null,""af_keywords"":null,""event_value"":null,""event_time"":""2025-02-03 18:08:30.854"",""af_sub4"":null,""af_sub2"":null,""original_url"":null,""af_adset"":null,""af_ad"":null,""device_type"":null,""idfa"":null,""af_channel"":null,""af_siteid"":null,""app_id"":""com.tozelabs.tvshowtime"",""af_ad_type"":null,""event_name"":""install"",""advertising_id"":""ac368755-c2ce-4fe2-868f-cda343dd8074"",""os_version"":""15"",""platform"":""android"",""af_sub3"":null,""af_ad_id"":null,""sdk_version"":""v6.15.2""}"
2025-03-21 18:20:24,2025-03-21 18:23:37,1,21667900,42540837,AppsFlyerV2,1742573539253-4710622,"{""af_sub1"":null,""customer_user_id"":null,""bundle_id"":""com.tozelabs.tvshowtime"",""event_source"":""SDK"",""app_version"":""10.7.2"",""custom_data"":null,""af_c_id"":null,""install_time"":""2025-03-21 18:19:51.336"",""attributed_touch_type"":null,""af_adset_id"":null,""api_version"":""2.0"",""attributed_touch_time"":null,""appsflyer_id"":""1742573539253-4710622"",""af_sub5"":null,""af_prt"":null,""media_source"":""organic"",""campaign"":null,""af_keywords"":null,""event_value"":null,""event_time"":""2025-03-21 18:19:51.336"",""af_sub4"":null,""af_sub2"":null,""original_url"":null,""af_adset"":null,""af_ad"":null,""device_type"":null,""idfa"":null,""af_channel"":null,""af_siteid"":null,""app_id"":""id431065232"",""af_ad_type"":null,""event_name"":""install"",""advertising_id"":null,""os_version"":""18.3.2"",""platform"":""ios"",""af_sub3"":null,""af_ad_id"":null,""sdk_version"":""v6.15.3""}"
