user_id,episode_id,vote_key,series_name,season_number,episode_number
21667900,5541668,5541668-21667900-3,The Story of God with Morgan Freeman,1,1
21667900,5541668,5541668-21667900-5,The Story of God with Morgan Freeman,1,1
21667900,5563916,5563916-21667900-5,The Story of God with Morgan Freeman,1,2
21667900,5577096,5577096-21667900-19,The Man in the High Castle,2,1
21667900,5671265,5671265-21667900-20,Poldark (2015),2,1
21667900,5722830,5722830-21667900-20,The Man in the High Castle,2,2
21667900,5722831,5722831-21667900-19,The Man in the High Castle,2,3
21667900,5722833,5722833-21667900-20,The Man in the High Castle,2,5
21667900,5722835,5722835-21667900-20,The Man in the High Castle,2,7
21667900,5722836,5722836-21667900-20,The Man in the High Castle,2,8
21667900,5722837,5722837-21667900-20,The Man in the High Castle,2,9
21667900,5722838,5722838-21667900-20,The Man in the High Castle,2,10
21667900,5738937,5738937-21667900-20,Poldark (2015),2,2
21667900,5738938,5738938-21667900-19,Poldark (2015),2,3
21667900,5738939,5738939-21667900-20,Poldark (2015),2,4
21667900,5738940,5738940-21667900-20,Poldark (2015),2,5
21667900,5738941,5738941-21667900-19,Poldark (2015),2,6
21667900,5738942,5738942-21667900-20,Poldark (2015),2,7
21667900,5738943,5738943-21667900-20,Poldark (2015),2,8
21667900,5738944,5738944-21667900-20,Poldark (2015),2,9
21667900,5936411,5936411-21667900-3,House of Cards (US),5,1
21667900,5966086,5966086-21667900-19,Poldark (2015),3,1
21667900,6056377,6056377-21667900-20,Money Heist,1,1
21667900,6073203,6073203-21667900-20,Money Heist,1,6
21667900,6073204,6073204-21667900-20,Money Heist,1,7
21667900,6091739,6091739-21667900-19,Poldark (2015),3,2
21667900,6091741,6091741-21667900-19,Poldark (2015),3,3
21667900,6091741,6091741-21667900-20,Poldark (2015),3,3
21667900,6091742,6091742-21667900-19,Poldark (2015),3,4
21667900,6091743,6091743-21667900-20,Poldark (2015),3,5
21667900,6156573,6156573-21667900-19,Poldark (2015),3,6
21667900,6156575,6156575-21667900-20,Poldark (2015),3,7
21667900,6156576,6156576-21667900-20,Poldark (2015),3,8
21667900,6156578,6156578-21667900-19,Poldark (2015),3,9
21667900,6297940,6297940-21667900-19,Howards End,1,1
21667900,6297941,6297941-21667900-18,Howards End,1,2
21667900,6297942,6297942-21667900-18,Howards End,1,3
21667900,6297943,6297943-21667900-18,Howards End,1,4
21667900,6327940,6327940-21667900-3,Dark,1,1
21667900,6347551,6347551-21667900-5,Dark,1,2
21667900,6347551,6347551-21667900-3,Dark,1,2
21667900,6347551,6347551-21667900-29,Dark,1,2
21667900,6347552,6347552-21667900-3,Dark,1,3
21667900,6347553,6347553-21667900-3,Dark,1,4
21667900,6347554,6347554-21667900-3,Dark,1,5
21667900,6347555,6347555-21667900-3,Dark,1,6
21667900,6347556,6347556-21667900-3,Dark,1,7
21667900,6347557,6347557-21667900-3,Dark,1,8
21667900,6347558,6347558-21667900-3,Dark,1,9
21667900,6347559,6347559-21667900-3,Dark,1,10
21667900,6468119,6468119-21667900-20,Money Heist,1,11
21667900,6472375,6472375-21667900-20,Money Heist,1,15
21667900,6499743,6499743-21667900-29,Killing Eve,1,1
21667900,6499743,6499743-21667900-5,Killing Eve,1,1
21667900,6589247,6589247-21667900-3,Killing Eve,1,2
21667900,6589248,6589248-21667900-3,Killing Eve,1,3
21667900,6605071,6605071-21667900-19,My Brilliant Friend,1,7
21667900,6605072,6605072-21667900-20,My Brilliant Friend,1,8
21667900,6646752,6646752-21667900-20,Poldark (2015),4,1
21667900,6704944,6704944-21667900-20,Sharp Objects,1,8
21667900,6710020,6710020-21667900-19,Poldark (2015),4,2
21667900,6733508,6733508-21667900-20,Bodyguard (2018),1,1
21667900,6733509,6733509-21667900-20,Bodyguard (2018),1,2
21667900,6733510,6733510-21667900-20,Bodyguard (2018),1,3
21667900,6733513,6733513-21667900-20,Bodyguard (2018),1,6
21667900,6765383,6765383-21667900-19,The Little Drummer Girl,1,1
21667900,6765384,6765384-21667900-19,The Little Drummer Girl,1,2
21667900,6765385,6765385-21667900-20,The Little Drummer Girl,1,3
21667900,6765386,6765386-21667900-20,The Little Drummer Girl,1,4
21667900,6765387,6765387-21667900-20,The Little Drummer Girl,1,5
21667900,6765388,6765388-21667900-20,The Little Drummer Girl,1,6
21667900,6767346,6767346-21667900-18,Homecoming (2018),1,1
21667900,6768101,6768101-21667900-19,The Man in the High Castle,3,1
21667900,6769073,6769073-21667900-19,The Man in the High Castle,3,2
21667900,6770149,6770149-21667900-19,Escape at Dannemora,1,1
21667900,6805101,6805101-21667900-19,The Man in the High Castle,3,3
21667900,6805102,6805102-21667900-20,The Man in the High Castle,3,4
21667900,6805103,6805103-21667900-20,The Man in the High Castle,3,5
21667900,6805105,6805105-21667900-20,The Man in the High Castle,3,6
21667900,6805107,6805107-21667900-19,The Man in the High Castle,3,8
21667900,6805108,6805108-21667900-20,The Man in the High Castle,3,9
21667900,6805110,6805110-21667900-20,The Man in the High Castle,3,10
21667900,6846157,6846157-21667900-20,The Marvelous Mrs. Maisel,2,1
21667900,6879272,6879272-21667900-19,Outlander,4,6
21667900,6879274,6879274-21667900-20,Outlander,4,7
21667900,6891638,6891638-21667900-18,Outlander,4,8
21667900,6891642,6891642-21667900-20,Outlander,4,9
21667900,6898824,6898824-21667900-19,This Is Us,3,10
21667900,6905974,6905974-21667900-20,Vikings,5,12
21667900,6905975,6905975-21667900-20,Vikings,5,13
21667900,6905976,6905976-21667900-19,Vikings,5,14
21667900,6905977,6905977-21667900-19,Vikings,5,15
21667900,6909600,6909600-21667900-19,The Marvelous Mrs. Maisel,2,2
21667900,6909602,6909602-21667900-19,The Marvelous Mrs. Maisel,2,3
21667900,6909603,6909603-21667900-19,The Marvelous Mrs. Maisel,2,4
21667900,6909605,6909605-21667900-20,The Marvelous Mrs. Maisel,2,5
21667900,6909606,6909606-21667900-19,The Marvelous Mrs. Maisel,2,6
21667900,6909607,6909607-21667900-20,The Marvelous Mrs. Maisel,2,7
21667900,6909608,6909608-21667900-19,The Marvelous Mrs. Maisel,2,8
21667900,6909608,6909608-21667900-18,The Marvelous Mrs. Maisel,2,8
21667900,6909608,6909608-21667900-20,The Marvelous Mrs. Maisel,2,8
21667900,6909609,6909609-21667900-20,The Marvelous Mrs. Maisel,2,9
21667900,6909610,6909610-21667900-20,The Marvelous Mrs. Maisel,2,10
21667900,6939920,6939920-21667900-20,This Is Us,3,11
21667900,6939922,6939922-21667900-19,This Is Us,3,12
21667900,6944527,6944527-21667900-19,Outlander,4,11
21667900,6944528,6944528-21667900-20,Outlander,4,12
21667900,6944529,6944529-21667900-20,Outlander,4,13
21667900,6968885,6968885-21667900-20,Vikings,5,16
21667900,6968888,6968888-21667900-20,Vikings,5,17
21667900,6968894,6968894-21667900-20,Vikings,5,19
21667900,6968894,6968894-21667900-19,Vikings,5,19
21667900,6968896,6968896-21667900-20,Vikings,5,20
21667900,6975016,6975016-21667900-3,Killing Eve,2,1
21667900,7006197,7006197-21667900-20,This Is Us,3,13
21667900,7043113,7043113-21667900-5,This Is Us,3,14
21667900,7043116,7043116-21667900-5,This Is Us,3,16
21667900,7043117,7043117-21667900-29,This Is Us,3,17
21667900,7043117,7043117-21667900-5,This Is Us,3,17
21667900,7043118,7043118-21667900-3,This Is Us,3,18
21667900,7107505,7107505-21667900-3,Game of Thrones,0,55
21667900,7117386,7117386-21667900-3,Game of Thrones,8,1
21667900,7121401,7121401-21667900-3,Game of Thrones,8,2
21667900,7121402,7121402-21667900-3,Game of Thrones,8,3
21667900,7121403,7121403-21667900-3,Game of Thrones,8,4
21667900,7121404,7121404-21667900-3,Game of Thrones,8,5
21667900,7121405,7121405-21667900-3,Game of Thrones,8,6
