episode_id,emotion_id,created_at,updated_at,tv_show_name,episode_season_number,episode_number,user_id
5833346,3,2018-10-13 10:09:21,2018-10-13 10:09:21,The Affair,3,9,21667900
5937322,3,2020-08-05 07:19:09,2020-08-05 07:19:09,House of Cards (US),5,12,21667900
5937323,3,2020-08-05 09:53:07,2020-08-05 09:53:07,House of Cards (US),5,13,21667900
5941632,3,2018-07-20 11:13:23,2018-07-20 11:13:23,13 Reasons Why,1,1,21667900
5941645,4,2018-07-20 11:12:47,2018-07-20 11:12:47,13 Reasons Why,1,11,21667900
5941648,3,2018-07-20 11:13:05,2018-07-20 11:13:05,13 Reasons Why,1,13,21667900
5966086,1,2018-12-27 09:45:03,2018-12-27 09:45:03,Poldark (2015),3,1,21667900
5995992,4,2018-11-19 05:47:58,2018-11-19 05:47:58,The Fosters (2013),5,1,21667900
6009893,1,2018-07-10 16:20:30,2018-07-10 16:20:30,Anne with an E,1,2,21667900
6056377,3,2018-12-17 09:38:58,2018-12-17 09:38:58,Money Heist,1,1,21667900
6073203,3,2018-12-18 08:38:10,2018-12-18 08:38:10,Money Heist,1,6,21667900
6073204,3,2018-12-18 10:38:56,2018-12-18 10:38:56,Money Heist,1,7,21667900
6091739,1,2018-12-27 11:44:13,2018-12-27 11:44:13,Poldark (2015),3,2,21667900
6091741,1,2018-12-27 16:40:32,2018-12-27 16:40:33,Poldark (2015),3,3,21667900
6091742,1,2018-12-28 09:48:38,2018-12-28 09:48:38,Poldark (2015),3,4,21667900
6091743,3,2018-12-28 12:21:31,2018-12-28 12:21:31,Poldark (2015),3,5,21667900
6156573,1,2018-12-28 16:32:58,2018-12-28 16:32:58,Poldark (2015),3,6,21667900
6156575,3,2018-12-29 05:24:58,2018-12-29 05:24:58,Poldark (2015),3,7,21667900
6156576,3,2018-12-29 12:27:47,2018-12-29 12:27:47,Poldark (2015),3,8,21667900
6156578,1,2018-12-30 09:23:02,2018-12-30 09:23:02,Poldark (2015),3,9,21667900
6235145,3,2018-07-10 16:21:03,2018-07-10 16:21:03,Game of Thrones,7,4,21667900
6274988,1,2018-10-23 14:41:29,2018-10-23 14:41:29,Godless,1,1,21667900
6274994,3,2018-10-23 14:42:23,2018-10-23 14:42:23,Godless,1,7,21667900
6275142,3,2018-07-10 16:21:21,2018-07-10 16:21:21,Game of Thrones,7,7,21667900
6297940,1,2019-01-03 16:29:10,2019-01-03 16:29:10,Howards End,1,1,21667900
6297941,8,2019-01-04 16:29:50,2019-01-04 16:29:50,Howards End,1,2,21667900
6297942,8,2019-01-05 16:27:20,2019-01-05 16:27:20,Howards End,1,3,21667900
6297943,8,2019-01-07 10:57:34,2019-01-07 10:57:34,Howards End,1,4,21667900
6379885,4,2018-08-11 09:40:21,2018-08-11 09:40:21,The End of the F***ing World,1,8,21667900
6468119,3,2018-12-20 13:10:00,2018-12-20 13:10:00,Money Heist,1,11,21667900
6472375,3,2018-12-21 11:27:02,2018-12-21 11:27:02,Money Heist,1,15,21667900
6605059,3,2018-11-19 14:11:51,2018-11-19 14:11:51,My Brilliant Friend,1,1,21667900
6605060,3,2018-11-21 04:49:03,2018-11-21 04:49:03,My Brilliant Friend,1,2,21667900
6605069,1,2018-12-03 12:19:05,2018-12-03 12:19:05,My Brilliant Friend,1,5,21667900
6605070,3,2018-12-04 09:17:43,2018-12-04 09:17:43,My Brilliant Friend,1,6,21667900
6605071,1,2018-12-11 05:15:35,2018-12-11 05:15:35,My Brilliant Friend,1,7,21667900
6605072,3,2018-12-12 05:51:27,2018-12-12 05:51:27,My Brilliant Friend,1,8,21667900
6646752,3,2018-12-31 16:34:01,2018-12-31 16:34:01,Poldark (2015),4,1,21667900
6668931,3,2018-07-11 16:14:02,2018-07-11 16:14:02,Sharp Objects,1,1,21667900
6674483,1,2018-06-29 05:54:33,2018-06-29 05:54:33,13 Reasons Why,2,12,21667900
6674484,4,2018-06-29 05:53:33,2018-06-29 05:53:33,13 Reasons Why,2,13,21667900
6691369,6,2018-12-03 16:37:33,2018-12-03 16:37:33,Nightflyers,1,1,21667900
6704933,3,2018-07-23 16:17:12,2018-07-23 16:17:12,Sharp Objects,1,3,21667900
6704944,3,2019-01-03 12:01:36,2019-01-03 12:01:36,Sharp Objects,1,8,21667900
6710020,1,2019-01-01 16:31:26,2019-01-01 16:31:26,Poldark (2015),4,2,21667900
6718810,1,2018-08-05 05:58:07,2018-08-05 05:58:07,Anne with an E,2,1,21667900
6732018,1,2018-09-28 13:02:29,2018-09-28 13:02:29,This Is Us,3,1,21667900
6733478,1,2018-10-28 09:07:20,2018-10-28 09:07:20,Legacies,1,0,21667900
6733508,3,2018-12-08 05:06:04,2018-12-08 05:06:04,Bodyguard (2018),1,1,21667900
6733509,3,2018-12-08 06:07:31,2018-12-08 06:07:31,Bodyguard (2018),1,2,21667900
6733510,3,2018-12-08 09:29:24,2018-12-08 09:29:24,Bodyguard (2018),1,3,21667900
6733513,3,2018-12-08 16:28:50,2018-12-08 16:28:50,Bodyguard (2018),1,6,21667900
6738344,3,2018-07-13 13:20:25,2018-07-13 13:20:25,The Handmaid's Tale,2,13,21667900
6751907,1,2018-08-05 09:52:53,2018-08-05 09:52:53,Anne with an E,2,3,21667900
6751908,3,2018-08-05 10:26:47,2018-08-05 10:26:47,Anne with an E,2,4,21667900
6751909,3,2018-08-05 12:53:50,2018-08-05 12:53:50,Anne with an E,2,5,21667900
6751911,3,2018-08-05 16:24:28,2018-08-05 16:24:29,Anne with an E,2,7,21667900
6751912,3,2018-08-06 04:24:25,2018-08-06 04:24:25,Anne with an E,2,8,21667900
6751913,1,2018-08-06 08:08:41,2018-08-06 08:08:41,Anne with an E,2,9,21667900
6751914,3,2018-08-06 09:19:39,2018-08-06 09:19:40,Anne with an E,2,10,21667900
6762373,6,2018-10-30 05:25:33,2018-10-30 05:25:33,Chilling Adventures of Sabrina,1,5,21667900
6765383,1,2019-01-06 05:44:02,2019-01-06 05:44:02,The Little Drummer Girl,1,1,21667900
6765384,1,2019-01-06 06:43:17,2019-01-06 06:43:17,The Little Drummer Girl,1,2,21667900
6765385,3,2019-01-06 11:02:57,2019-01-06 11:02:57,The Little Drummer Girl,1,3,21667900
6765386,3,2019-01-07 06:03:04,2019-01-07 06:03:04,The Little Drummer Girl,1,4,21667900
6765387,3,2019-01-07 09:54:39,2019-01-07 09:54:39,The Little Drummer Girl,1,5,21667900
6765388,3,2019-01-07 10:55:41,2019-01-07 10:55:41,The Little Drummer Girl,1,6,21667900
6767346,8,2018-12-10 13:39:08,2018-12-10 13:39:08,Homecoming (2018),1,1,21667900
6768101,1,2018-12-14 09:37:37,2018-12-14 09:37:37,The Man in the High Castle,3,1,21667900
6769073,1,2018-12-14 10:34:53,2018-12-14 10:34:53,The Man in the High Castle,3,2,21667900
6770149,1,2019-01-01 10:41:20,2019-01-01 10:41:20,Escape at Dannemora,1,1,21667900
6780571,3,2018-11-10 12:53:06,2018-11-10 12:53:06,Outlander,4,1,21667900
6786303,3,2018-11-23 05:37:29,2018-11-23 05:37:29,A Discovery of Witches,1,1,21667900
6805101,1,2018-12-14 13:33:16,2018-12-14 13:33:16,The Man in the High Castle,3,3,21667900
6805102,3,2018-12-14 16:17:39,2018-12-14 16:17:39,The Man in the High Castle,3,4,21667900
6805103,3,2018-12-15 04:26:58,2018-12-15 04:26:58,The Man in the High Castle,3,5,21667900
6805105,3,2018-12-15 05:40:38,2018-12-15 05:40:38,The Man in the High Castle,3,6,21667900
6805107,1,2018-12-15 11:07:38,2018-12-15 11:07:38,The Man in the High Castle,3,8,21667900
6805108,3,2018-12-15 16:22:48,2018-12-15 16:22:48,The Man in the High Castle,3,9,21667900
6805110,3,2018-12-16 09:02:12,2018-12-16 09:02:12,The Man in the High Castle,3,10,21667900
6846157,3,2018-12-06 02:55:40,2018-12-06 02:55:40,The Marvelous Mrs. Maisel,2,1,21667900
6879261,3,2018-11-26 06:16:47,2018-11-26 06:16:47,Outlander,4,4,21667900
6879271,3,2018-12-03 16:37:05,2018-12-03 16:37:05,Outlander,4,5,21667900
6879272,1,2018-12-10 10:39:27,2018-12-10 10:39:27,Outlander,4,6,21667900
6879274,3,2018-12-17 05:12:25,2018-12-17 05:12:25,Outlander,4,7,21667900
6891638,8,2018-12-24 04:40:27,2018-12-24 04:40:27,Outlander,4,8,21667900
6891642,3,2018-12-31 11:03:42,2018-12-31 11:03:42,Outlander,4,9,21667900
6898824,1,2019-01-16 16:18:43,2019-01-16 16:18:43,This Is Us,3,10,21667900
6905974,3,2018-12-06 12:39:44,2018-12-06 12:39:44,Vikings,5,12,21667900
6905975,3,2018-12-13 08:57:11,2018-12-13 08:57:11,Vikings,5,13,21667900
6905976,1,2018-12-20 12:16:26,2018-12-20 12:16:26,Vikings,5,14,21667900
6905977,1,2018-12-28 02:43:03,2018-12-28 02:43:03,Vikings,5,15,21667900
6909600,1,2018-12-06 05:20:52,2018-12-06 05:20:52,The Marvelous Mrs. Maisel,2,2,21667900
6909602,1,2018-12-06 06:18:17,2018-12-06 06:18:17,The Marvelous Mrs. Maisel,2,3,21667900
6909603,1,2018-12-06 10:45:52,2018-12-06 10:45:52,The Marvelous Mrs. Maisel,2,4,21667900
6909605,3,2018-12-06 16:31:10,2018-12-06 16:31:10,The Marvelous Mrs. Maisel,2,5,21667900
6909606,1,2018-12-07 05:38:38,2018-12-07 05:38:38,The Marvelous Mrs. Maisel,2,6,21667900
6909607,3,2018-12-07 06:39:16,2018-12-07 06:39:16,The Marvelous Mrs. Maisel,2,7,21667900
6909608,1,2018-12-07 10:02:44,2018-12-07 10:02:50,The Marvelous Mrs. Maisel,2,8,21667900
6909609,3,2018-12-07 11:00:09,2018-12-07 11:00:09,The Marvelous Mrs. Maisel,2,9,21667900
6909610,3,2018-12-07 16:26:43,2018-12-07 16:26:43,The Marvelous Mrs. Maisel,2,10,21667900
6910003,3,2018-11-20 16:28:24,2018-11-20 16:28:24,The Last Kingdom,3,5,21667900
6939920,3,2019-01-23 11:58:47,2019-01-23 11:58:47,This Is Us,3,11,21667900
6939922,1,2019-02-13 05:42:35,2019-02-13 05:42:35,This Is Us,3,12,21667900
6944527,1,2019-01-14 15:43:08,2019-01-14 15:43:08,Outlander,4,11,21667900
6944528,3,2019-01-20 16:29:38,2019-01-20 16:29:38,Outlander,4,12,21667900
6944529,3,2019-01-27 11:18:52,2019-01-27 11:18:52,Outlander,4,13,21667900
6968885,3,2019-01-03 11:59:11,2019-01-03 11:59:11,Vikings,5,16,21667900
6968888,3,2019-01-10 11:52:07,2019-01-10 11:52:07,Vikings,5,17,21667900
6968894,3,2019-01-25 10:33:30,2019-01-25 10:33:31,Vikings,5,19,21667900
6968896,3,2019-02-01 12:32:38,2019-02-01 12:32:38,Vikings,5,20,21667900
7006197,3,2019-02-21 16:59:36,2019-02-21 16:59:36,This Is Us,3,13,21667900
7043113,1,2019-03-06 13:37:32,2019-03-06 13:37:32,This Is Us,3,14,21667900
7043116,1,2019-04-12 13:14:18,2019-04-12 13:14:18,This Is Us,3,16,21667900
7117386,3,2019-04-15 07:27:33,2019-04-15 07:27:33,Game of Thrones,8,1,21667900
7121401,3,2019-04-28 13:27:41,2019-04-28 13:27:41,Game of Thrones,8,2,21667900
7121402,3,2019-04-30 07:36:41,2019-04-30 07:36:41,Game of Thrones,8,3,21667900
7121403,3,2019-05-07 02:24:10,2019-05-07 02:24:10,Game of Thrones,8,4,21667900
7121404,3,2019-05-13 06:30:43,2019-05-13 06:30:43,Game of Thrones,8,5,21667900
7993546,1,2021-02-04 12:25:06,2021-02-04 12:25:06,The Mandalorian,2,7,21667900
