updated_at,message,user_id,object_type,object_id,report_type,created_at
2018-07-16 12:38:48,,21667900,episode-comment,13061160,spoiler,2018-07-16 12:38:48
2018-11-14 11:19:55,,21667900,episode-comment,14778691,spoiler,2018-11-14 11:19:55
2019-09-07 09:56:27,,21667900,show-comment,755485,plagiarized,2019-09-07 09:56:27
