user_id,emotion_id,count,created_at,updated_at,tv_show_name,tv_show_id
21667900,3,14,2019-07-02 21:03:44,2019-08-06 09:54:41,Euphoria (US),360261
21667900,3,8,2019-11-12 09:36:07,2019-12-23 11:01:51,His Dark Materials,360295
21667900,3,2,2021-06-27 15:38:41,2021-07-05 17:16:50,When They See Us,360388
21667900,1,3,2019-11-12 09:34:07,2019-11-12 09:34:16,Watchmen,360733
21667900,3,12,2019-10-26 09:19:38,2019-12-16 14:45:29,Watchmen,360733
21667900,1,2,2020-01-05 20:42:05,2020-01-05 21:03:05,Spinning Out,360858
21667900,3,10,2020-01-05 20:39:41,2020-01-07 04:51:28,Spinning Out,360858
21667900,3,7,2019-06-06 12:38:09,2019-06-09 11:56:38,Chernobyl,360893
21667900,1,2,2020-12-09 03:45:50,2021-02-04 12:25:07,The Mandalorian,361753
21667900,3,8,2019-11-13 05:18:21,2020-12-02 04:28:34,The Mandalorian,361753
21667900,3,7,2021-02-07 12:26:35,2021-03-05 13:02:52,WandaVision,362392
21667900,3,2,2021-06-09 17:14:05,2021-06-30 17:43:43,Loki,362472
21667900,1,1,2021-04-23 15:22:11,2021-04-23 15:22:11,The Falcon and The Winter Soldier,362496
21667900,3,4,2021-03-27 19:20:00,2021-04-19 13:01:58,The Falcon and The Winter Soldier,362496
21667900,3,8,2019-12-20 12:04:28,2019-12-21 17:42:06,The Witcher,362696
21667900,3,7,2020-04-18 10:42:14,2020-04-22 18:12:07,Little Fires Everywhere,363194
21667900,3,2,2021-04-03 01:36:09,2021-04-03 03:43:03,Snowpiercer,364928
21667900,3,2,2020-01-18 00:07:39,2020-01-18 00:21:03,The Outsider (2020),365480
21667900,1,6,2019-11-13 04:31:54,2019-12-02 10:55:58,Mrs. Fletcher,366195
21667900,3,5,2019-11-13 04:31:07,2019-12-10 06:43:38,Mrs. Fletcher,366195
21667900,3,2,2022-08-08 16:39:24,2022-08-08 20:08:10,The Sandman,366211
21667900,3,1,2021-01-20 06:36:14,2021-01-20 06:36:14,Bridgerton,366668
21667900,3,10,2019-09-17 04:59:51,2019-09-27 10:26:18,Unbelievable,367030
21667900,3,6,2020-04-05 02:15:41,2020-04-06 08:40:10,Tales from the Loop,368210
21667900,3,1,2022-06-30 19:44:08,2022-06-30 19:44:08,Crash Landing on You,368385
21667900,3,1,2023-09-26 01:43:24,2023-09-26 01:43:24,The Great,369301
21667900,3,4,2020-11-10 04:58:27,2021-02-24 11:23:45,The Undoing,369307
21667900,1,1,2021-06-02 21:45:15,2021-06-02 21:45:15,Shadow and Bone,369844
21667900,3,2,2021-06-01 17:51:15,2021-06-02 12:18:18,Mare of Easttown,370112
21667900,3,10,2022-08-27 16:58:05,2024-08-06 02:23:00,House of the Dragon,371572
21667900,3,7,2020-08-10 05:25:23,2020-08-12 11:16:16,Normal People,371806
21667900,3,1,2025-03-21 18:24:07,2025-03-21 18:24:07,Severance,371980
21667900,8,1,2025-03-07 05:00:51,2025-03-07 05:00:51,Severance,371980
21667900,1,1,2021-03-17 06:09:05,2021-03-17 06:09:05,Messiah (2020),373186
21667900,3,2,2020-08-05 16:28:29,2020-08-06 06:51:36,Unorthodox,376122
21667900,3,1,2022-07-16 01:17:29,2022-07-16 01:17:29,It's Okay to Not Be Okay,377955
21667900,3,1,2024-03-07 03:02:52,2024-03-07 03:02:52,Flower of Evil,377960
21667900,3,3,2020-10-09 15:52:43,2020-10-09 17:00:29,Bad Boy Billionaires: India,387191
21667900,1,1,2023-05-04 08:29:00,2023-05-04 08:29:00,The White Lotus,390430
21667900,3,2,2023-05-04 08:30:55,2023-05-06 00:22:01,The White Lotus,390430
21667900,3,1,2024-03-24 22:32:12,2024-03-24 22:32:12,Vincenzo,391784
21667900,3,1,2024-04-25 20:30:59,2024-04-25 20:30:59,Shōgun,392573
21667900,1,1,2021-11-03 05:02:27,2021-11-03 05:02:27,Scenes From A Marriage (US),394109
21667900,3,1,2021-10-05 10:58:53,2021-10-05 10:58:53,Scenes From A Marriage (US),394109
21667900,6,1,2021-11-03 05:02:28,2021-11-03 05:02:28,Scenes From A Marriage (US),394109
21667900,7,0,2021-11-03 05:02:24,2021-11-03 05:02:28,Scenes From A Marriage (US),394109
21667900,8,0,2021-11-03 05:02:27,2021-11-03 05:02:28,Scenes From A Marriage (US),394109
21667900,3,1,2022-07-24 21:01:08,2022-07-24 21:01:08,My Name,397441
21667900,3,3,2023-01-12 03:44:00,2023-01-18 04:12:50,Alchemy of Souls,401475
21667900,3,6,2024-02-10 23:24:55,2024-02-15 22:56:16,My Liberation Notes,401548
21667900,3,1,2021-10-23 05:14:48,2021-10-23 05:14:48,Komi Can't Communicate,402412
21667900,3,1,2023-01-01 03:48:14,2023-01-01 03:48:14,The Glory,411469
21667900,1,1,2025-03-23 22:14:35,2025-03-23 22:14:35,Presumed Innocent,415738
21667900,1,2,2024-05-07 17:07:25,2024-05-07 17:33:03,Baby Reindeer,417223
21667900,3,4,2024-05-07 18:21:12,2024-05-07 21:53:04,Baby Reindeer,417223
