vote_key,episode_id,user_id,series_name,season_number,episode_number
141245-21667900-15,141245,21667900,Band of Brothers,1,1
141245-21667900-25,141245,21667900,Band of Brothers,1,1
141245-21667900-30,141245,21667900,Band of Brothers,1,1
307266-21667900-30,307266,21667900,Angels in America,1,1
307266-21667900-15,307266,21667900,Angels in America,1,1
307266-21667900-14,307266,21667900,Angels in America,1,1
307266-21667900-38,307266,21667900,Angels in America,1,1
326715-21667900-13,326715,21667900,The Tudors,1,1
326715-21667900-25,326715,21667900,The Tudors,1,1
440752-21667900-13,440752,21667900,Toradora!,1,25
440752-21667900-19,440752,21667900,Toradora!,1,25
501751-21667900-19,501751,21667900,Fullmetal Alchemist: Brotherhood,1,1
879161-21667900-28,879161,21667900,Fullmetal Alchemist: Brotherhood,1,19
879161-21667900-18,879161,21667900,Fullmetal Alchemist: Brotherhood,1,19
879161-21667900-19,879161,21667900,Fullmetal Alchemist: Brotherhood,1,19
3941411-21667900-30,3941411,21667900,The Office (US),7,22
3941421-21667900-35,3941421,21667900,The Office (US),7,23
4079947-21667900-28,4079947,21667900,Homeland,1,1
4079947-21667900-13,4079947,21667900,Homeland,1,1
4079947-21667900-18,4079947,21667900,Homeland,1,1
4079947-21667900-19,4079947,21667900,Homeland,1,1
4175251-21667900-18,4175251,21667900,Homeland,1,2
4175251-21667900-13,4175251,21667900,Homeland,1,2
4175251-21667900-19,4175251,21667900,Homeland,1,2
4175251-21667900-28,4175251,21667900,Homeland,1,2
4175252-21667900-28,4175252,21667900,Homeland,1,3
4175252-21667900-13,4175252,21667900,Homeland,1,3
4175252-21667900-19,4175252,21667900,Homeland,1,3
4175252-21667900-18,4175252,21667900,Homeland,1,3
4175253-21667900-13,4175253,21667900,Homeland,1,4
4175253-21667900-28,4175253,21667900,Homeland,1,4
4175253-21667900-18,4175253,21667900,Homeland,1,4
4175253-21667900-19,4175253,21667900,Homeland,1,4
4175254-21667900-18,4175254,21667900,Homeland,1,5
4175254-21667900-13,4175254,21667900,Homeland,1,5
4175254-21667900-19,4175254,21667900,Homeland,1,5
4175254-21667900-28,4175254,21667900,Homeland,1,5
4175255-21667900-28,4175255,21667900,Homeland,1,6
4175255-21667900-18,4175255,21667900,Homeland,1,6
4175255-21667900-19,4175255,21667900,Homeland,1,6
4175256-21667900-28,4175256,21667900,Homeland,1,7
4175256-21667900-18,4175256,21667900,Homeland,1,7
4175256-21667900-19,4175256,21667900,Homeland,1,7
4182830-21667900-30,4182830,21667900,Homeland,1,8
4182830-21667900-28,4182830,21667900,Homeland,1,8
4182830-21667900-19,4182830,21667900,Homeland,1,8
4182830-21667900-15,4182830,21667900,Homeland,1,8
4182830-21667900-18,4182830,21667900,Homeland,1,8
4198125-21667900-15,4198125,21667900,Homeland,1,9
4198125-21667900-18,4198125,21667900,Homeland,1,9
4198125-21667900-28,4198125,21667900,Homeland,1,9
4198125-21667900-30,4198125,21667900,Homeland,1,9
4198125-21667900-19,4198125,21667900,Homeland,1,9
4198126-21667900-18,4198126,21667900,Homeland,1,10
4198126-21667900-28,4198126,21667900,Homeland,1,10
4198126-21667900-19,4198126,21667900,Homeland,1,10
4198126-21667900-30,4198126,21667900,Homeland,1,10
4198126-21667900-15,4198126,21667900,Homeland,1,10
4198127-21667900-30,4198127,21667900,Homeland,1,11
4198127-21667900-15,4198127,21667900,Homeland,1,11
4198127-21667900-19,4198127,21667900,Homeland,1,11
4198127-21667900-28,4198127,21667900,Homeland,1,11
4198127-21667900-18,4198127,21667900,Homeland,1,11
4198128-21667900-28,4198128,21667900,Homeland,1,12
4198128-21667900-18,4198128,21667900,Homeland,1,12
4198128-21667900-19,4198128,21667900,Homeland,1,12
4208116-21667900-30,4208116,21667900,Hung,3,10
4208116-21667900-15,4208116,21667900,Hung,3,10
4208116-21667900-13,4208116,21667900,Hung,3,10
4303747-21667900-28,4303747,21667900,Homeland,2,1
4303747-21667900-19,4303747,21667900,Homeland,2,1
4303747-21667900-18,4303747,21667900,Homeland,2,1
4333794-21667900-28,4333794,21667900,Homeland,2,2
4333794-21667900-18,4333794,21667900,Homeland,2,2
4333794-21667900-19,4333794,21667900,Homeland,2,2
4333795-21667900-19,4333795,21667900,Homeland,2,3
4333795-21667900-28,4333795,21667900,Homeland,2,3
4333795-21667900-18,4333795,21667900,Homeland,2,3
4336562-21667900-18,4336562,21667900,Homeland,2,4
4336562-21667900-28,4336562,21667900,Homeland,2,4
4336562-21667900-19,4336562,21667900,Homeland,2,4
4336562-21667900-13,4336562,21667900,Homeland,2,4
4366700-21667900-15,4366700,21667900,Homeland,2,6
4366700-21667900-30,4366700,21667900,Homeland,2,6
4366700-21667900-18,4366700,21667900,Homeland,2,6
4366700-21667900-19,4366700,21667900,Homeland,2,6
4366700-21667900-28,4366700,21667900,Homeland,2,6
4366701-21667900-18,4366701,21667900,Homeland,2,7
4366701-21667900-19,4366701,21667900,Homeland,2,7
4366701-21667900-28,4366701,21667900,Homeland,2,7
4376938-21667900-19,4376938,21667900,Homeland,2,5
4376938-21667900-28,4376938,21667900,Homeland,2,5
4376938-21667900-18,4376938,21667900,Homeland,2,5
4382125-21667900-19,4382125,21667900,Homeland,2,8
4382125-21667900-28,4382125,21667900,Homeland,2,8
4382125-21667900-18,4382125,21667900,Homeland,2,8
4382126-21667900-18,4382126,21667900,Homeland,2,9
4382126-21667900-28,4382126,21667900,Homeland,2,9
4382126-21667900-19,4382126,21667900,Homeland,2,9
4402617-21667900-19,4402617,21667900,Homeland,2,10
4402617-21667900-28,4402617,21667900,Homeland,2,10
4402617-21667900-18,4402617,21667900,Homeland,2,10
4402619-21667900-28,4402619,21667900,Homeland,2,11
4402619-21667900-13,4402619,21667900,Homeland,2,11
4402619-21667900-18,4402619,21667900,Homeland,2,11
4402619-21667900-19,4402619,21667900,Homeland,2,11
4402622-21667900-30,4402622,21667900,Homeland,2,12
4402622-21667900-19,4402622,21667900,Homeland,2,12
4402622-21667900-15,4402622,21667900,Homeland,2,12
4402622-21667900-28,4402622,21667900,Homeland,2,12
4402622-21667900-18,4402622,21667900,Homeland,2,12
4411361-21667900-25,4411361,21667900,House of Cards (US),1,1
4481708-21667900-28,4481708,21667900,House of Cards (US),1,2
4481708-21667900-24,4481708,21667900,House of Cards (US),1,2
4481709-21667900-25,4481709,21667900,House of Cards (US),1,3
4481709-21667900-13,4481709,21667900,House of Cards (US),1,3
4481710-21667900-24,4481710,21667900,House of Cards (US),1,4
4481710-21667900-28,4481710,21667900,House of Cards (US),1,4
4481711-21667900-13,4481711,21667900,House of Cards (US),1,5
4481712-21667900-24,4481712,21667900,House of Cards (US),1,6
4481712-21667900-28,4481712,21667900,House of Cards (US),1,6
4481713-21667900-13,4481713,21667900,House of Cards (US),1,7
4481714-21667900-38,4481714,21667900,House of Cards (US),1,8
4481714-21667900-21,4481714,21667900,House of Cards (US),1,8
4481715-21667900-28,4481715,21667900,House of Cards (US),1,9
4481715-21667900-24,4481715,21667900,House of Cards (US),1,9
4481716-21667900-24,4481716,21667900,House of Cards (US),1,10
4481716-21667900-28,4481716,21667900,House of Cards (US),1,10
4508211-21667900-30,4508211,21667900,Homeland,3,1
4508211-21667900-18,4508211,21667900,Homeland,3,1
4508211-21667900-28,4508211,21667900,Homeland,3,1
4508211-21667900-15,4508211,21667900,Homeland,3,1
4508211-21667900-19,4508211,21667900,Homeland,3,1
4520960-21667900-30,4520960,21667900,Broadchurch,1,5
4520960-21667900-32,4520960,21667900,Broadchurch,1,5
4520960-21667900-28,4520960,21667900,Broadchurch,1,5
4520963-21667900-32,4520963,21667900,Broadchurch,1,8
4559295-21667900-28,4559295,21667900,Suits,3,2
4559295-21667900-32,4559295,21667900,Suits,3,2
4562419-21667900-18,4562419,21667900,Homeland,3,2
4562419-21667900-19,4562419,21667900,Homeland,3,2
4562419-21667900-15,4562419,21667900,Homeland,3,2
4562419-21667900-28,4562419,21667900,Homeland,3,2
4562419-21667900-30,4562419,21667900,Homeland,3,2
4591566-21667900-18,4591566,21667900,Homeland,3,3
4591566-21667900-19,4591566,21667900,Homeland,3,3
4591566-21667900-28,4591566,21667900,Homeland,3,3
4591568-21667900-18,4591568,21667900,Homeland,3,4
4591568-21667900-19,4591568,21667900,Homeland,3,4
4591568-21667900-28,4591568,21667900,Homeland,3,4
4596698-21667900-28,4596698,21667900,Quarry,1,1
4596698-21667900-18,4596698,21667900,Quarry,1,1
4596698-21667900-19,4596698,21667900,Quarry,1,1
4597331-21667900-19,4597331,21667900,Homeland,3,5
4597331-21667900-18,4597331,21667900,Homeland,3,5
4597331-21667900-28,4597331,21667900,Homeland,3,5
4611506-21667900-19,4611506,21667900,Homeland,3,6
4611506-21667900-18,4611506,21667900,Homeland,3,6
4611506-21667900-28,4611506,21667900,Homeland,3,6
4611507-21667900-28,4611507,21667900,Homeland,3,7
4611507-21667900-18,4611507,21667900,Homeland,3,7
4611507-21667900-19,4611507,21667900,Homeland,3,7
4626050-21667900-24,4626050,21667900,Fargo,1,1
4626050-21667900-25,4626050,21667900,Fargo,1,1
4626050-21667900-28,4626050,21667900,Fargo,1,1
4663020-21667900-25,4663020,21667900,Better Call Saul,1,1
4663020-21667900-13,4663020,21667900,Better Call Saul,1,1
4663897-21667900-28,4663897,21667900,Homeland,3,8
4663897-21667900-19,4663897,21667900,Homeland,3,8
4663897-21667900-18,4663897,21667900,Homeland,3,8
4663898-21667900-28,4663898,21667900,Homeland,3,9
4663898-21667900-18,4663898,21667900,Homeland,3,9
4663898-21667900-19,4663898,21667900,Homeland,3,9
4663899-21667900-28,4663899,21667900,Homeland,3,10
4663899-21667900-19,4663899,21667900,Homeland,3,10
4663899-21667900-18,4663899,21667900,Homeland,3,10
4675715-21667900-28,4675715,21667900,Homeland,3,11
4675715-21667900-18,4675715,21667900,Homeland,3,11
4675715-21667900-19,4675715,21667900,Homeland,3,11
4675716-21667900-18,4675716,21667900,Homeland,3,12
4675716-21667900-15,4675716,21667900,Homeland,3,12
4675716-21667900-28,4675716,21667900,Homeland,3,12
4675716-21667900-30,4675716,21667900,Homeland,3,12
4676429-21667900-28,4676429,21667900,Suits,3,16
4676429-21667900-30,4676429,21667900,Suits,3,16
4808528-21667900-28,4808528,21667900,Fargo,1,2
4808528-21667900-25,4808528,21667900,Fargo,1,2
4808528-21667900-24,4808528,21667900,Fargo,1,2
4808529-21667900-25,4808529,21667900,Fargo,1,3
4808529-21667900-13,4808529,21667900,Fargo,1,3
4808530-21667900-25,4808530,21667900,Fargo,1,4
4808531-21667900-24,4808531,21667900,Fargo,1,5
4808531-21667900-25,4808531,21667900,Fargo,1,5
4808531-21667900-28,4808531,21667900,Fargo,1,5
4808533-21667900-15,4808533,21667900,Fargo,1,6
