episode_id,updated_at,episode_season_number,episode_number,user_id,show_character_id,created_at,fb_action_id,tv_show_name
4596699,2019-01-07 16:45:22,1,1,21667900,63359249,2019-01-07 16:45:20,,The Leftovers
4597331,2020-04-30 04:59:46,3,5,21667900,63511185,2020-04-30 04:59:44,,Homeland
4611506,2020-04-30 17:35:46,3,6,21667900,63511176,2020-04-30 17:35:46,,Homeland
4611507,2020-05-03 13:35:16,3,7,21667900,63511176,2020-05-03 13:35:16,,Homeland
4626050,2019-08-04 09:35:20,1,1,21667900,63319780,2019-08-04 09:35:20,,Fargo
4663020,2019-09-07 09:08:23,1,1,21667900,65235974,2019-09-07 09:08:23,,Better Call Saul
4663897,2020-05-03 13:35:46,3,8,21667900,63511176,2020-05-03 13:35:46,,Homeland
4663898,2020-05-03 13:36:32,3,9,21667900,63511179,2020-05-03 13:36:32,,Homeland
4663899,2020-05-06 08:09:02,3,10,21667900,63511179,2020-05-06 08:09:02,,Homeland
4675715,2020-05-06 08:09:14,3,11,21667900,63511179,2020-05-06 08:09:14,,Homeland
4675716,2020-05-06 08:10:15,3,12,21667900,63511179,2020-05-06 08:10:15,,Homeland
4676429,2022-03-18 01:34:29,3,16,21667900,64837316,2022-03-18 01:34:29,,Suits
4741188,2019-05-21 08:46:57,2,2,21667900,64818234,2019-05-21 08:46:57,,House of Cards (US)
4741189,2019-05-22 04:11:36,2,3,21667900,64818234,2019-05-22 04:11:36,,House of Cards (US)
4741190,2019-05-22 09:23:07,2,4,21667900,64818236,2019-05-22 09:23:07,,House of Cards (US)
4741191,2019-05-22 10:16:42,2,5,21667900,64818234,2019-05-22 10:16:42,,House of Cards (US)
4741192,2019-05-22 16:24:53,2,6,21667900,64818234,2019-05-22 16:24:53,,House of Cards (US)
4741193,2019-05-23 09:12:59,2,7,21667900,64818234,2019-05-23 09:12:59,,House of Cards (US)
4741194,2019-05-23 10:46:37,2,8,21667900,64818234,2019-05-23 10:46:37,,House of Cards (US)
4741195,2019-05-23 16:24:57,2,9,21667900,357723,2019-05-23 16:24:52,,House of Cards (US)
4741196,2019-05-25 16:21:03,2,10,21667900,64818234,2019-05-25 16:21:03,,House of Cards (US)
4741197,2019-05-26 04:53:58,2,11,21667900,64818234,2019-05-26 04:53:58,,House of Cards (US)
4741198,2019-05-26 08:49:06,2,12,21667900,64818234,2019-05-26 08:49:06,,House of Cards (US)
4741199,2019-05-26 09:46:22,2,13,21667900,64818234,2019-05-26 09:46:22,,House of Cards (US)
4808528,2019-08-04 10:23:11,1,2,21667900,63319789,2019-08-04 10:23:09,,Fargo
4808529,2019-08-04 16:09:12,1,3,21667900,63319789,2019-08-04 16:09:12,,Fargo
