series_name,season_number,episode_number,user_id,episode_id,vote_key
The Knick,1,8,21667900,4930439,4930439-21667900-29
The Knick,1,9,21667900,4930440,4930440-21667900-29
The Knick,1,10,21667900,4930441,4930441-21667900-3
Your Lie in April,1,2,21667900,5013326,5013326-21667900-3
Your Lie in April,1,7,21667900,5013331,5013331-21667900-3
Your Lie in April,1,22,21667900,5013610,5013610-21667900-3
Your Lie in April,0,1,21667900,5024431,5024431-21667900-3
The Seven Deadly Sins,1,8,21667900,5028306,5028306-21667900-3
Better Call Saul,1,2,21667900,5054192,5054192-21667900-3
Better Call Saul,1,3,21667900,5054193,5054193-21667900-3
Better Call Saul,1,3,21667900,5054193,5054193-21667900-29
Assassination Classroom,1,3,21667900,5097575,5097575-21667900-3
Better Call Saul,1,4,21667900,5114293,5114293-21667900-3
Better Call Saul,1,5,21667900,5114294,5114294-21667900-29
Better Call Saul,1,6,21667900,5126774,5126774-21667900-3
Better Call Saul,1,7,21667900,5126775,5126775-21667900-3
Better Call Saul,1,8,21667900,5126776,5126776-21667900-3
Better Call Saul,1,9,21667900,5126777,5126777-21667900-3
The Man in the High Castle,1,1,21667900,5245898,5245898-21667900-19
The Leftovers,2,1,21667900,5256066,5256066-21667900-3
The Knick,2,1,21667900,5295146,5295146-21667900-29
Fargo,2,1,21667900,5300871,5300871-21667900-3
The Knick,2,2,21667900,5315387,5315387-21667900-29
The Knick,2,3,21667900,5315388,5315388-21667900-29
The Knick,2,4,21667900,5315389,5315389-21667900-29
The Knick,2,4,21667900,5315389,5315389-21667900-3
The Knick,2,5,21667900,5315390,5315390-21667900-29
The Knick,2,6,21667900,5315391,5315391-21667900-3
The Knick,2,7,21667900,5315392,5315392-21667900-29
The Knick,2,8,21667900,5315393,5315393-21667900-3
The Knick,2,9,21667900,5315394,5315394-21667900-3
The Knick,2,10,21667900,5315395,5315395-21667900-3
Fargo,2,2,21667900,5343365,5343365-21667900-29
Fargo,2,3,21667900,5344820,5344820-21667900-3
The Night Manager,1,1,21667900,5364427,5364427-21667900-29
The Leftovers,2,8,21667900,5378712,5378712-21667900-3
The Man in the High Castle,1,6,21667900,5388443,5388443-21667900-20
The Man in the High Castle,1,7,21667900,5388444,5388444-21667900-19
The Man in the High Castle,1,9,21667900,5388446,5388446-21667900-20
The Man in the High Castle,1,10,21667900,5388447,5388447-21667900-20
Making a Murderer,1,1,21667900,5411660,5411660-21667900-5
Better Call Saul,2,1,21667900,5427452,5427452-21667900-3
