updated_at,time,user_id,quiz_question_id,quiz_question_answer_id,score,created_at
2018-11-15 05:45:49,3.06,21667900,4664,18630,348,2018-11-15 05:45:49
2018-11-15 05:46:00,4.17,21667900,4667,18641,0,2018-11-15 05:46:00
2019-01-08 09:06:49,2.17,21667900,4838,19324,372,2019-01-08 09:06:49
2019-01-08 09:06:59,3.06,21667900,4843,19342,0,2019-01-08 09:06:59
2019-04-28 13:29:35,1.01,21667900,4997,19958,413,2019-04-28 13:29:35
2019-04-28 13:29:08,1,21667900,4998,19961,413,2019-04-28 13:29:08
2019-04-28 13:28:24,1.14,21667900,4999,19966,407,2019-04-28 13:28:24
2019-04-28 13:28:39,2.09,21667900,5000,19972,374,2019-04-28 13:28:39
2019-04-28 13:28:45,0.45,21667900,5001,19973,442,2019-04-28 13:28:45
2019-04-28 13:28:53,0.74,21667900,5002,19979,425,2019-04-28 13:28:53
2019-04-28 13:29:22,5.34,21667900,5003,19982,299,2019-04-28 13:29:22
2019-04-28 13:29:29,1.39,21667900,5004,19987,397,2019-04-28 13:29:29
2019-04-28 13:29:01,1.39,21667900,5005,19990,397,2019-04-28 13:29:01
2019-04-28 13:28:31,1.69,21667900,5006,19994,387,2019-04-28 13:28:31
